"197,800"	90%					"74,800"	50%			(increased .25%/month)			"51,900"	0%			(increased .25%/month)	
Months	AMT amort	Retained	refundable			Months	AMT amort	Retained	refundable	compounding	total		Months	AMT amort	Retained	refundable	compounding	total
1	1809	1809	"195,991"			1	1122	1122	"73,678"	"123,000.00"	"196,678.00"		1	778.5	778.5	"51,122"	"145,900.00"	"197,021.50"
2	1809	3618	"194,182"			2	1122	2244	"72,556"	"123,405.90"	"195,961.90"		2	778.5	1557	"50,343"	"146,381.47"	"196,724.47"
3	1809	5427	"192,373"			3	1122	3366	"71,434"	"123,813.14"	"195,247.14"		3	778.5	2335.5	"49,565"	"146,864.53"	"196,429.03"
4	1809	7236	"190,564"			4	1122	4488	"70,312"	"124,221.72"	"194,533.72"		4	778.5	3114	"48,786"	"147,349.18"	"196,135.18"
5	1809	9045	"188,755"			5	1122	5610	"69,190"	"124,631.65"	"193,821.65"		5	778.5	3892.5	"48,008"	"147,835.43"	"195,842.93"
6	1809	10854	"186,946"			6	1122	6732	"68,068"	"125,042.94"	"193,110.94"		6	778.5	4671	"47,229"	"148,323.29"	"195,552.29"
7	1206	12060	"185,740"			7	1122	7854	"66,946"	"125,455.58"	"192,401.58"		7	778.5	5449.5	"46,451"	"148,812.76"	"195,263.26"
8			"185,740"			8	1122	8976	"65,824"	"125,869.58"	"191,693.58"		8	778.5	6228	"45,672"	"149,303.84"	"194,975.84"
9			"185,740"			9	1122	10098	"64,702"	"126,284.95"	"190,986.95"		9	778.5	7006.5	"44,894"	"149,796.54"	"194,690.04"
10			"185,740"			10	1122	11220	"63,580"	"126,701.69"	"190,281.69"		10	778.5	7785	"44,115"	"150,290.87"	"194,405.87"
11			"185,740"			11	1122	12342	"62,458"	"127,119.81"	"189,577.81"		11	778.5	8563.5	"43,337"	"150,786.83"	"194,123.33"
12			"185,740"			12	1122	13464	"61,336"	"127,539.31"	"188,875.31"		12	778.5	9342	"42,558"	"151,284.43"	"193,842.43"
year 2			"185,740"			13	1122	14586	"60,214"	"127,960.18"	"188,174.18"		13	778.5	10120.5	"41,780"	"151,783.67"	"193,563.17"
3			"185,740"			14	1122	15708	"59,092"	"128,382.45"	"187,474.45"		14	778.5	10899	"41,001"	"152,284.55"	"193,285.55"
4			"185,740"			15	1122	16830	"57,970"	"128,806.12"	"186,776.12"		15	778.5	11677.5	"40,223"	"152,787.09"	"193,009.59"
5			"185,740"			16	1122	17952	"56,848"	"129,231.18"	"186,079.18"		16	778.5	12456	"39,444"	"153,291.29"	"192,735.29"
6			"185,740"			17	1122	19074	"55,726"	"129,657.64"	"185,383.64"		17	778.5	13234.5	"38,666"	"153,797.15"	"192,462.65"
7			"185,740"			18	1122	20196	"54,604"	"130,085.51"	"184,689.51"		18	778.5	14013	"37,887"	"154,304.68"	"192,191.68"
8			"185,740"			19	1122	21318	"53,482"	"130,514.79"	"183,996.79"		19	778.5	14791.5	"37,109"	"154,813.89"	"191,922.39"
9			"185,740"			20	1122	22440	"52,360"	"130,945.49"	"183,305.49"		20	778.5	15570	"36,330"	"155,324.77"	"191,654.77"
10			"185,740"			21	1122	23562	"51,238"	"131,377.61"	"182,615.61"		21	778.5	16348.5	"35,552"	"155,837.34"	"191,388.84"
